"","GDP.PPP.","Indus Employment","Agri Employment","GHG Emission","Renew Energy","Fossile Fuel","Energy.Use.PC","CO2.Emissions.PC","Population.Total","Protected Area","Paris_Agreement_Code","Polityxconst","UNmentions"
"99",1897084915416.95,24.2999998728434,13.2999998728434,653220.559812304,9.64443675928821,89.4930868950458,1518.95939486169,3.85677512375076,120351258.666667,6.02,2,6,28
"100",14544297728.5017,18.9000002543132,27.1666666666667,11374.2748866101,4.40423160835299,90.6947941519631,971.856983078079,1.39449510620064,3560516.66666667,3.82,1,7,5
"101",-43126961819.9898,22.0151390088945,21.2306615843179,18672.5012107318,28.4821713844728,69.6676344553756,2296.18127049656,6.53530936979249,37146,99.72,2,9.07319214796486,12
"102",24328353880.1083,17.2333335876465,33.8333333333333,25411.1936489524,3.52907336168478,95.4784876419921,1565.7089088782,10.2473475450634,2760023.33333333,17.21,2,7,21
"103",8642844143.5438,18.7666664123535,5.83333317438762,35324.90065804,47.969668193743,61.6004424363303,1808.5384967986,4.02570338866915,620036,2.69,1,7,16
"104",221566855740.055,21.7666664123535,39.7333335876465,78301.8312830994,12.1709607776115,88.7828521958142,553.07032061803,1.80588968294248,32541297.6666667,20.14,2,4,2
"105",23855674209.0158,13.5628130222177,45.9069576714238,380068.360234163,89.0928735730265,8.49369096660966,407.750907272462,0.120863332380132,25023768.6666667,10.9,1,5,14
"106",652894992668.513,12.3955359503087,44.7038682106727,460234.398404615,82.7311429649789,23.0906813493051,280.287642387931,0.25412140671063,52134088.3333333,4.07,1,0,20
"107",19336961168.9739,14.3000001907349,29.4666665395101,37850.8316101948,33.0472517518001,65.8979155377845,715.746065231904,1.38171045441808,2241816.33333333,23.23,2,5,14
"108",79300498280.243,20.6107076173951,14.2102999141692,4.50391974017569,28.150453899988,65.7168677735822,1558.4087444646,4.13597977590923,10049,0,2,9.28440573350487,69
"109",55776271624.9562,14.6029886715525,47.2085397386439,35554.1261727651,86.3194108277359,13.5848548146564,378.678735942988,0.201431688264045,27185220.6666667,22.93,2,6,24
"110",767410881129.343,15.7000001271566,2.46666669845581,202811.92112513,4.19321128626898,92.5533361237241,4782.86929449742,10.4564560477288,16687810,18.06,1,7,5
"111",143562679052.876,20.4666665395101,6.83333349227905,76707.9199840588,31.4404224533646,61.1062516927786,4259.22369306252,7.43936006509191,4380933.33333333,29.82,2,7,17
"112",24506241525.7184,18.0159132931007,27.4412242504401,16062.0114830588,52.1679789085392,46.2792378526791,534.119950820078,0.808832665372897,5807514.33333333,21.96,0,7,15
"113",855532554977.787,17.42796691089,39.9085775866304,296673.936756312,86.4779704177512,18.6500914744874,774.729333938871,0.585385856008548,163811938,11.82,1,6,3
"114",312593641705.202,20.1666660308838,2.23333334922791,64475.9813489607,56.9906660417694,59.3551987671946,6167.17676896249,10.4535673251626,4953637.66666667,9.08,2,7,11
"115",140078091550.188,28.3855878869624,-0.510938864218776,60649.7072323447,-10.4602988804048,101.048538568003,6876.56661282611,17.1080868582167,3232980.66666667,3.99,1,2,1
"116",752775315772.397,21.434699056304,39.7141389425673,362246.100082121,45.476642136392,60.9996549426082,489.572756740827,0.933733873920134,173701939.333333,8.6,2,6,11
